,premise,hypothesis,label,explanation,language
1495,Ein schwarz-weißes Bild einer Stadtstraße mit einem Lebensmittelhändler im Vordergrund.,Ein Wagen ist auf einer Stadtstraße.,entailment,"Eine Stadtstraße mit einem Lebensmittelhändler im Vordergrund zeigt, dass es einen Wagen auf einer Stadtstraße gibt.",german
1496,Menschen springen über eine Bergspalte an einem Seil.,Manche sehen visuell ängstlich aus zu springen.,neutral,"Leute, die Angst haben zu springen, bedeuten nicht, dass sie über eine Bergspalte springen.",german
1497,"Die Familie sitzt auf einem Grasfeld, während andere vorbeigehen.",Zwei Eltern und zwei Kinder sitzen auf einem Grasfeld.,neutral,Die Familie ist nicht immer zwei Eltern und zwei Kinder.,german
1498,"Eine Gruppe von Männern, einige mit Musikinstrumenten, sitzen in Stühlen um den Umfang eines Raumes.",Eine Gruppe Männer bereitet sich auf ein Konzert vor.,neutral,"Nicht jeder, der mit einem Instrument sitzt, bereitet sich auf ein Konzert vor.",german
1499,"Ein Mann, der in einem Rennen läuft, geht an Zuschauern vorbei.",Ein Mann im Kajak geht an Zuschauern vorbei.,contradiction,"Rennen ist in der Regel auf dem Boden, während Kajak ist auf dem Wasser",german
1500,Vier Kinder tragen blaue Hüte mit farbigen Streamern.,Vier Kinder tragen Hüte mit Streamern.,entailment,"Vier Kinder tragen ""Hüte mit Streamern"" wird aufwendig durch ""blaue Hüte mit farbigen Streamern"" erklärt.",german
1501,"Viele Menschen, die Asien zu sein scheinen, stehen an einem Bahnhof Schlange und warten geduldig auf den nächsten Zug.",einige Leute stehen,neutral,"Leute, die stehen, warten vielleicht nicht auf einen Zug.",german
1502,"Einige Männer in Burgundermänteln versuchen, ein Auto in den Schnee zu schieben.","Es gibt Männer, die versuchen, ein Auto im Schnee zu schieben.",entailment,"Männer versuchen, ein Auto in den Schnee zu schieben.",german
1503,Ein schwarzer Mann trägt eine Daunenjacke mit ausgebreiteten Armen und hält einen rosa Kamm.,Ein Mann trug im Winter eine Jacke.,neutral,"Nur weil ein Mann eine Jacke trägt, bedeutet das nicht, dass es Winter ist.",german
1504,Ein Hund mit einem Ball in seinem Mund läuft eine Straße mit Blättern bedeckt.,Eine Katze läuft einen Baum hoch,contradiction,"Es gibt zwei verschiedene Tiere (Katze gegen Hund), die zwei verschiedene Aktionen (Laufen einen Baum gegen eine Straße).",german
1505,"ein Fußballer mit schwarz-rot gestreifter Uniform macht sich bereit, den Fußball zu treten","Ein Fußballer macht sich bereit, den Ball zu treten.",entailment,"Wir wurden bereits darüber informiert, dass ein Fußballspiel kurz davor ist, den Ball zu kicken, mit'stets ready to kick the soccer ball'.",german
1506,Ein Mann lächelt einer Frau in einem weißen Kleid zu.,Der Mann ist auf dem Mond.,contradiction,"Es ist unwahrscheinlich, dass es eine Frau in einem weißen Kleid auf dem Mond gibt.",german
1507,"Eine junge Frau in einem Bikini, die etwas in einem Glaskoffer anschaut.","Eine Frau, die einkauft.",neutral,"Eine Frau, die sich etwas anschaut, ist nicht impliziert, einkaufen zu gehen.",german
1508,Ein Mann und sein Kamel in der staubigen Wüste.,der Mann ist mexikanisch,neutral,"Ein Mann, der mit einem Kamel in der staubigen Wüste ist, bedeutet nicht unbedingt, dass er ein Mexikaner ist.",german
1509,Der Gitarrist spielt ein rockiges Solo.,der Musiker schläft zu Hause,contradiction,"Es ist nicht möglich, dass ein Musiker ein Solo spielt, während er gleichzeitig zu Hause schläft.",german
1510,"Ein Foto einer Frau in einem schwarzen Mantel, das vor einem großen zweifarbigen Foto steht, das eine Frau in einem grauen Kleid darstellt, das mit der Hand in einer Tasche nach unten schaut.",Es sind zwei Frauen auf dem Foto,entailment,Frau in schwarz und eine andere Frau in grau bilden zwei Frauen,german
1511,"Ein Mann auf der Bühne in der Tat des Springens, mit einem kleinen Jungen im Hintergrund wirklich genießen.","Ein Junge sieht glücklich zu, wie ein Akrobat auf eine Bühne springt.",neutral,"Nur weil der Mann auf der Bühne springt, heißt das nicht, dass er ein Akrobat ist.",german
1512,Vier Kinder tanzen um eine Stange in einer Stadtstraße.,Vier Mädchen tanzen um eine Stange herum.,neutral,Nicht alle Kinder sind Mädchen.,german
1513,Kinder am Strand mit ihrem Hund.,Die Kinder schlafen mit ihrem Hund auf der Couch.,contradiction,Kinder am Strand können nicht auf der Couch schlafen.,german
1514,Ein Hund springt über einen Haufen Holz.,Ein Hund ruht auf einem Haufen Holz.,contradiction,Der Hund ruht oder springt.,german
1515,Der Mann fegt mit einem roten Besen.,Der Mann fegt Dreck.,entailment,"Schmutz ist, was normalerweise gefegt wird, wenn man mit einem Besen fegt; dass der Mann fegt ist tautologisch.",german
1516,Eine Silhouette eines angelnden Mannes.,Ein Mann schläft.,contradiction,der Mann fischt nicht,german
1517,Ein professioneller Baseballfänger und hinter ihm ein Umpire kniet in Action-Position und warten auf den Pitch.,World Series Spiel 3 wird gespielt,neutral,Die Leute spielen nicht unbedingt Baseball in World Series Spiel 3.,german
1518,"Ein Mann mit weißem Haar, der einen grauen Anzug trägt, spricht in ein Mikrofon mit einem Metallkrug, der vor ihm sitzt.",Ein Mann spricht.,entailment,Spricht in ein Mikrofon ist eine Paraphrase des Sprechens.,german
1519,Ein jüngeres Paar geht über einen Crosswalk draußen mit einer sehr geschäftigen Bushaltestelle hinter ihnen.,Es gibt Leute in einem Laden.,contradiction,Draußen ist nicht drin.,german
1520,"Mehrere Männer füllen die Szene, einer in einem weißen Knopf nach oben Hemd mit seinem Handy, die anderen mit rosa, orange und grün Hemden in verschiedenen Aktivitäten im Hintergrund engagiert.",Drei Männer reden auf ihren Telefonen.,neutral,"Mehrere Männer implizieren nicht, dass es genau drei Männer. Ein Mann mit seinem Handy implizieren nicht, dass drei Männer reden auf ihren Handys.",german
1521,Ein Mechaniker für ein Rennauto-Team arbeitet an den Rädern eines Rennwagens.,Das Auto nahm eine Boxenstopp mit nur ein paar Runden zu gehen.,neutral,"Nur weil ein Mechaniker an einem Auto arbeitet, bedeutet das nicht, dass das Auto einen Boxenstopp genommen hat.",german
1522,"Der Spieler im schwarzen Hemd streckt hoch in der Luft nach dem Fußball, während der andere sich auf ihn zudehnt, um ihn zu stehlen.",Zwei Spieler sitzen auf einer Couch.,contradiction,"Man dehnt sich nicht hoch aus oder streckt sich auf jemanden zu, der einen Fußball stiehlt, wenn man auf einer Couch sitzt.",german
1523,"Eine Läuferin, die in blauer Sportkleidung gekleidet ist, läuft in einem Wettbewerb, während die Zuschauer die Straße säumen.",Es gibt Leute auf der Straße.,entailment,"Satz 2 bestätigt, dass es Menschen auf der Straße gibt.",german
1524,Mann in blauem Hemd sitzt auf der Seite der Straße mit einer Schubkarre von Gemüse,Ein Mann verkauft frisches Mais auf der Straße.,neutral,"Ein Mann mit einer Schubkarre Gemüse bedeutet nicht, dass er frischen Mais verkauft.",german
1525,"Ein Mann spricht auf einem Handy, während er sein Auto mit Gas füllt.","Ein Mann bekommt Gas für sein Auto, während er auf seinem Handy spricht.",entailment,"Um Gas in sein Auto zu bekommen, muss der Mann sein Auto mit Gas füllen.",german
1526,Eine Frau und ein junges Mädchen essen Seite an Seite.,"Ein Mann, der seine Wäsche faltet.",contradiction,"Das Thema ist entweder ein Mann oder eine Frau und Mädchen, und entweder falten Wäsche oder essen.",german
1527,Mann in blauem Hemd sitzt auf der Seite der Straße mit einer Schubkarre von Gemüse,Ein Mann sitzt neben einer Schubkarre voller Produkte.,entailment,Produziert werden Gemüse.,german
1528,"Ein junger Junge spricht zu einem Mikrofon, das von einer blonden Frau in Schwarz gehalten wird.","Eine Frau, die einem Jungen das Singen beibringt.",neutral,"Das Mikrofon zu halten bedeutet nicht, dass die Frau dem Jungen beibringt oder ihm überhaupt hilft.",german
1529,Vier Männer mit Baseball Mützen und Logo T-Shirts lachen zusammen an einem Tisch.,Die Männer verkaufen Kleidung in einem Sportgeschäft.,contradiction,Die Männer können sich auf mehr als vier Männer beziehen.,german
1530,"Ein Mann, der ein Notizbuch trägt.",Der Mann hat etwas in der Hand.,entailment,Ein Notizbuch ist etwas.,german
1531,Ein Mann sieht geheimnisvoll aus in einem blauen Hemd und einem roten Truck für eine Firma namens Wilbert.,Eine Frau schneidet Auberginen.,contradiction,Ein Mann kann keine Frau sein.,german
1532,"Ein nackter Mann, der Kopf und Arm in einen Toilettenring passt, während die Zuschauer in einer Stadt zusehen.",Ein Mann macht Zaubertricks.,neutral,"Der Einbau von Kopf und Arm in einen WC-Sitzring bedeutet nicht unbedingt, dass er Zaubertricks macht.",german
1533,zwei kleine Mädchen tanzen auf dem Boden,Zwei Kinder spielen auf dem Spielplatz.,contradiction,"Kinder können Mädchen oder Jungen sein, nicht unbedingt Mädchen. Tanzen und spielen sind zwei verschiedene Aktivitäten. Der Boden und der Spielplatz sind zwei verschiedene Orte.",german
1534,Ein kleines Mädchen mit Zöpfen bläst Blasen.,Ein junges Mädchen genießt ihren Tag draußen.,neutral,"Nur weil das Mädchen klein ist, bedeutet das nicht unbedingt, dass sie jung ist. Nur weil sie Blasen bläst, bedeutet das nicht, dass sie es genießt und draußen.",german
1535,"Ein Mann in einem weißen T-Shirt und Jeans hält einen Hammer und Meißel neben seiner abstrakten Skulptur, die auf mehreren Ziegelsteinen steht.",Ein Mann trägt ein weißes Hemd,entailment,Ein Mann benutzt einen Hammer und Meißel auf seiner abstrakten Skulptur.,german
1536,"Eine Frau in einer amerikanischen Militäruniform sitzt an einem Tisch und schreibt auf einem großen Blatt weißem Papier die Worte'sad', 'deprimiert' und 'hass'.",Eine Frau in einer amerikanischen grünen Militäruniform lächelt.,contradiction,"Eine Person würde normalerweise nicht lächeln, während sie die Worte'sad', 'deprimiert' und 'hass' schrieb.",german
1537,Eine Gruppe von Leuten schaut zur Seite und ein Junge beginnt zu laufen.,Das Mädchen rannte.,contradiction,Die Person ist entweder ein Junge oder ein Mädchen.,german
1538,Nackte Kinder spielen am schlammigen Flussufer.,"Die Kinder spielten auf der RIVERBANK in der Mude, um nur eine Mude zu haben.",neutral,"Kinder, die auf einer schlammigen Bank spielen, tun es nicht unbedingt nur, um ein Schlammbad zu haben.",german
1539,"Ein junger Mann, der in einem dunklen Badeanzug gekleidet ist, verlässt ein Schwimmbad, während Wasser seinen Kopf und Körper abtropft.",Der Mann lag am Pool.,contradiction,Der Mann liegt entweder am Pool oder er verlässt ihn.,german
1540,Zwei Männer stehen in der Mitte einer Lichtung mit Bergen im Hintergrund.,Männer in der Mitte einer Lichtung warten auf den Rest der Gruppe,neutral,Vielleicht warten sie nicht auf den Rest der Gruppe.,german
1541,"Ein Mann mit einem blauen, gekrallten Hemd sitzt vor einem anderen Mann.",ein Mann schaut auf seinen Freund,neutral,"Nur weil ein Mann vor einem anderen Mann sitzt, bedeutet das nicht, dass er den anderen Mann ansieht, noch dass er davon ausgeht, dass sie Freunde sind.",german
1542,"Ein Mann mit Bart, der vor dem Tourbus sitzt.",Ein Typ fährt mit dem Bus.,entailment,"Der Mann ist ein Kerl, und Reiten sitzt.",german
1543,"Ein alter Mann, wahrscheinlich ein Schmied, schweißt ein Werkzeug, gesehen durch den roten heißen sengenden Blick davon.",Ein wahrscheinlicher Schmied schweißt ein Werkzeug.,entailment,Ein Schmied hält ein Schweißwerkzeug.,german
1544,Der Pitcher spielt den Ball in einem Baseballspiel.,Der Pitcher will den letzten Spieler im Team ausschlagen.,neutral,"Wir haben keinen Hinweis darauf, dass der Pitcher den letzten Spieler im Team ausschlagen will. Wir können die Gefühle eines Fotos nicht ableiten, die nicht beschrieben werden.",german
1545,Ein Mann in einer Bauweste schaut auf ein Fahrzeug.,Ein Bauarbeiter schaut auf ein Auto.,entailment,"Ein Mann in einer Bauweste impliziert, dass er ein Bauarbeiter ist, und ein Auto ist ein Fahrzeugtyp.",german
1546,"Ein Mann, der eine blaue Jacke trägt, tritt einen anderen Mann, trägt eine rote Jacke.",Eine Frau macht Make-up,contradiction,Der Mann kann keine Frau sein.,german
1547,Mehrere Kinder stehen am Strand.,"Die Kinder warten darauf, ins Wasser zu gehen.",neutral,"Nur weil jemand am Strand steht, bedeutet das nicht, dass er darauf wartet, ins Wasser zu gehen.",german
1548,Die Kinder spielen im Pool.,Die Kinder spielen Marco Polo.,neutral,"Kinder spielen im Pool bedeutet nicht immer, Marco Polo zu spielen.",german
1549,Drei Männchen und ein Weibchen posieren für ein Foto mit Schnee auf dem Boden und Bergen mit grünen Bäumen und Schnee im Hintergrund bedeckt.,Vier Freunde am Strand posieren im Wasser.,contradiction,Schnee mit Bäumen und Bergen sind anders als Strand Pose im Wasser,german
1550,"Ein Mann und eine Frau reiten in einem Maultier gezogenen Wagen, wie der Fahrer zeigt Sehenswürdigkeiten.",Ein Mann und eine Frau reiten auf einem Maultier,entailment,"Wenn wir in einem Maultier gezogenen Wagen fahren, fahren wir indirekt mit einem Maultier.",german
1551,Zwei junge Musiker spielen von einer Bühne aus.,Die beiden Musiker spielen Trompete,neutral,Nicht alle Musiker spielen Trompete.,german
1552,Ein Student in einem grünen Hemd schreibt in einem Notizbuch.,Eine Person im Kino,contradiction,"Die Person schreibt in ein Notizbuch, was bedeutet, dass er oder sie nicht im Kino ist.",german
1553,Ein Mann spielt mit seinem Skateboard auf einer Straße.,Ein Mann sitzt im Rollstuhl in einem Krankenhaus.,contradiction,"Es wäre schwierig für einen Mann im Rollstuhl hospitalisiert, mit einem Skateboard zu spielen. Eine Straße und Krankenhaus sind zwei separate Standorte, wobei einer im Freien und der andere ist ein Insider-Standort",german
1554,"Ein Paar wurde durch eine Lücke im Zaun fotografiert, während sie in der Nähe des Wassers sitzen.",Das Paar steht neben einem Kuchen.,contradiction,Das Paar kann nicht gleichzeitig sitzen und stehen.,german
1555,Der Mann im braunen Hemd hält die Hand des langhaarigen Kindes vor einem Gemälde.,"Ein Vater brachte sein Kind in ein Museum, um ein berühmtes Gemälde zu sehen.",neutral,"Ein Mann, der die Hand eines Kindes vor einem Gemälde hält, bedeutet nicht, dass sie Vater und Sohn sind und ein berühmtes Gemälde in einem Museum betrachten.",german
1556,"Es gibt einen roten Bus, der sich links in einen Kreis verwandelt, der ein Sprinklersystem hat.",Ein roter Bus an einer Bushaltestelle,contradiction,Ein Bus an einer Bushaltestelle kann nicht links abbiegen.,german
1557,Ein fahrender LKW mit noch befestigter Rampe.,"Ein fahrender LKW bereit, mehr Sachen zu bewegen.",neutral,"Ein LKW muss nicht bereit sein, mehr Sachen zu bewegen, wenn eine Rampe noch befestigt ist.",german
1558,"Ein Flugzeug fliegt über den Kopf, während Militärs auf der Hut stehen, eine Flagge bläst in den Wind, während eine Dame in Rot auf die Kamera zustarrt.",Ein leeres Feld wird fotografiert.,contradiction,"Wenn es ein leeres Feld gibt, kann es nicht auch Militärmänner und eine Dame in Rot darin stehen lassen.",german
1559,"Eine Frau mit grüner Körperfarbe hält einen grünen und blauen Hula-Hoop, während ihre Freundin (auch in blau und grün) zuschaut.",Die Frau ist sehr gut im Hula Hooping.,neutral,Ein grüner und blauer Hula-Hoop bedeutet nicht immer sehr gut im Hula-Hooping.,german
1560,Die Leute warten auf einen Doppeldeckerbus.,Deutsche Touristen warten auf einen Bus.,neutral,"Man nimmt nicht an, dass es sich um deutsche Touristen handelt.",german
1561,"Ein Mann mit schwarzem Hut, der auf der Straße steht, während er eine E-Gitarre spielt und singt.",Draußen spielt ein Mann Gitarre.,entailment,"Wenn ein Mann auf der Straße steht, ist er offensichtlich draußen.",german
1562,Ein junges Mädchen trägt gelbe Shorts und einen weißen Tank Top mit einem Stock Stange an einem kleinen Teich zu fischen.,Ein Mädchen fischen im Sommer im Teich.,neutral,"Das Tragen von Shorts und einer Tankdecke zeigt die Temperatur an, weist aber nicht unbedingt auf die Sommerzeit hin.",german
1563,Eine Frau läuft mit ihrem Hund auf einem verschneiten Boden.,Eine Frau und ihre Katze liegen am Kamin.,contradiction,"Die Frau kann nicht zwei Dinge auf einmal tun, sie geht entweder die Tür oder liegt am Kamin. Es ist auch entweder ein Hund oder eine Katze.",german
1564,"Eine Frau, die eine Ballettklasse unterrichtet, die aus kleinen Kindern besteht, die bunte Schals halten.","Eine Frau unterrichtet eine Ballettklasse, bestehend aus kleinen Kindern, die grüne und rote Schals halten.",neutral,Nicht alle Schals sind die Farben grün und rot.,german
1565,Zwei Jungs in einem Kanu vor einem größeren Boot mit einem Sturm kommen.,Zwei Jungs in einem Segelboot,contradiction,Die Jungs können nicht gleichzeitig in einem Segelboot und einem Kanu sein,german
1566,"Zwei beiläufig gekleidete Männer, einer mit Cowboy-Hut und einer mit Baseball-Cap, machen sich durch eine Menge.",Die Mütze ist eine Yankee Mütze.,neutral,Die Mütze ist nicht unbedingt eine Yankee Mütze.,german
1567,"Ein Mann auf der Bühne in der Tat des Springens, mit einem kleinen Jungen im Hintergrund wirklich genießen.","Ein Junge sieht glücklich zu, wie ein Mann auf eine Bühne springt.",entailment,Der Mann ist auf der Bühne.,german
1568,Eine Frau in einem Fell gefüttert karierte lila Jacke steht an einem Tisch voller essen Kinder.,"Die Frau sieht den Kindern zu, wie sie ihr Mittagessen essen.",neutral,"Sie können nicht schlussfolgern, dass sie ihr Mittagessen essen.",german
1569,"Ein Mann in blau gekleideten Stellen mopp in einem grünen Eimer, als er auf einem Dach steht, das eine Stadt überblickt.","Ein Mann freut sich nicht, das Dach putzen zu müssen.",neutral,"Ein Mann mit einem Mopp auf einem Dach wird nicht davon ausgegangen, nicht glücklich zu sein, weil er das Dach reinigen muss.",german
1570,"Zwei Männer trommeln, einer steht und einer sitzt.",Zwei Leute trommeln.,entailment,"Zwei Männer sind zwei Menschen, beide trommeln.",german
1571,ein Mann mit einer Mütze und nicht tragendes Hemd legt eine Holzbank.,Eine Bank ruht auf einem Mann,contradiction,"Ein Mann kann nicht auf einer Bank liegen, wenn die Bank auf einem Mann ruht.",german
1572,"Eine Frau, die eine gelbe Jacke trägt, fährt eine verschneite Schanze hinunter.",Eine Frau ist draußen.,entailment,Der verschneite Hügel ist draußen.,german
1573,"Ein kleiner Junge, der ein blaues Hemd trägt, spielt im Kinderbecken.",Junge in einem Pool,entailment,Ein Junge spielt in einem Pool mit blauem Hemd.,german
1574,"Der Mann gräbt im Sand, während andere zusehen, was er entdeckt.","ein Mann gräbt, um zu sehen, was er finden kann.",entailment,"Wenn er mit Hoffnungen gräbt, dass er etwas entdeckt, hofft er, etwas zu finden.",german
1575,"Ein Fahrradfahrer mit Rennradpedal tritt ein gelbes Fahrrad am Drahtzaun am Rand eines Feldes vorbei, mit einem Baumstand im Hintergrund.",Ein Rollerfahrer trägt lockere Kleidung Rennen vorbei an einem Gebäude.,contradiction,Ein Fahrrad und ein Roller sind verschiedene Arten von Übungsgeräten.,german
1576,"Ein Biker mit blauer Jacke, schwarzer Hose und weißem Helm, der auf Schmutz fährt, während die Leute zusehen.","Ein Biker macht sich bereit, gegen seine Gegner zu kämpfen.",neutral,"Der Biker kann vor den Leuten für eine Ausstellung fahren, nicht ein Rennen gegen seine Gegner.",german
1577,Ein Mann geht auf dem eisigen Bürgersteig.,Der Mann wäre früher fast ausgerutscht.,neutral,"Ein eisiger Bürgersteig bedeutet nicht, dass der Mann fast rutschte früher.",german
1578,"Ein Mann, der einen Kilt trägt, hat eine große Stange geworfen.",Ein Mann tanzt durchs Feld.,contradiction,Gewurft und getanzt sind zwei verschiedene Tactions.,german
1579,Eine Person in einer roten Jacke und einem roten Hut steht in der Nähe eines Berges.,Eine Person befindet sich in der Nähe eines Berges.,entailment,Eine Person in einem Hut steht in der Nähe eines Berges.,german
1580,Ein Clown tritt unter anderem in einem Park auf.,Im Inneren des Schrankes ist dunkel.,contradiction,Kann nicht sowohl im Park als auch im Schrank auftreten.,german
1581,Ein kleines Mädchen mit Zöpfen bläst Blasen.,Ein Junge spielt mit seinem Jo-Jo.,contradiction,"Ein Mädchen ist kein Junge, Bubbles sind keine Jo-Jos.",german
1582,"Zwei kleine Kinder, eines mit einem roten gestreiften Hemd, schauen durch das Fenster, während ein Erwachsener in einem rosa Hemd von hinten Uhren.",Niemand hat ein Hemd,contradiction,Zwei kleine Kinder sind mehr als niemand.,german
1583,Künstler an der Straßenecke verkauft sein Kunstwerk.,Jemand bettelt um Geld.,contradiction,Die Person kann nicht gleichzeitig Kunstwerke verkaufen und um Geld betteln,german
1584,"Eine Frau, die lila trägt und eine Tasche trägt, geht aus einer Tür heraus.",Die Frau trägt eine Tasche mit ihrem Laptop.,neutral,"Ein Laptop ist nur eines von vielen möglichen Objekten, die in eine Tasche gelegt werden können.",german
1585,Ein Mann mit grauem Bart und ein kleiner Junge sitzen auf dem Boden und schauen in einem Zimmer mit einem Etagenbett über einige Papiere.,Der Mann und der Junge sind in einem Schlafzimmer.,neutral,Alle Zimmer mit Etagenbetten sind kein Schlafzimmer.,german
1586,Ein paar frischvermählte Küssen unter dem Schleier der Braut.,Zwei Menschen küssen sich.,entailment,Ein Paar küsst zwei Menschen küsst.,german
1587,Ein Skifahrer fährt in einen Hain von Bäumen.,"Die Person auf dem Bild fährt ein Fahrrad verlangsamen Hügel, pumpt die Pedale so hart wie sie können.",contradiction,"die Person handelt entweder als Skifahrer oder die Person fährt ein Fahrrad, niemand kann beides tun.",german
1588,Weiblich in einer Militäruniform mit gefesselten Haaren.,das Weibchen trägt ihr Haar nach oben,entailment,Haar gebunden zurück kann als Haar nach oben erwähnt werden.,german
1589,"Ein junges Paar, das in einem Bus mit dem Arm des Jungen um das Mädchen fährt.",Das Paar ist im Bus.,entailment,"Das junge Paar, das mit dem Bus fährt, ist dasselbe wie das Paar mit dem Bus.",german
1590,Eine Gruppe von Menschen sind in einer besonderen Formation auf einem Fußballfeld.,Die Gruppe der Menschen fliegt in der Luft auf ihren Einhörnern.,contradiction,"weil ein Fußballfeld auf dem Boden ist, und der Boden nicht in der Luft ist, dann können die Menschen auf dem Fußballfeld nicht in der Luft auf Einhörnern fliegen",german
1591,Zwei Polizisten mittleren Alters wachen nachts über einen Parkplatz.,Ein paar Cops halten ein Auge auf den Parkplatz.,entailment,Halten Sie ein Auge auf und Wache über sind ungefähr gleichbedeutend.,german
1592,"Ein Mann, der einen schwarzen Mantel trägt, geht.","Ein Mann, der nach Hause geht.",neutral,"Kann nicht schlussfolgern, dass der Mann nach Hause geht",german
1593,"Zwei Männer, die schmutzige Kleidung tragen, sitzen mit ihrem Hund auf einem Bürgersteig und betteln mit einem Pappschild um Geld.",Zwei Forscher forschen verschleiert.,neutral,"Man kann nicht folgern, dass sie verkleidet sind.",german
1594,"Ein Mann mit zwei kleinen Jungen, der einen Kauf von einer Frau macht.","Der Mann bringt zwei kleine Jungs mit, um etwas von einer Frau zu kaufen.",entailment,"""Der Mann bringt zwei kleine Jungs mit, um etwas zu kaufen"" ist eine Neuauflage von ""Ein Mann mit zwei kleinen Jungen, die einen Kauf tätigen"".",german
1595,Ein Kind amüsiert sich auf einer gelben Rutsche in einem Park.,Ein Mädchen liest ein Buch.,contradiction,Das Kind würde normalerweise kein Buch auf einer Rutsche in einem Park lesen.,german
1596,Ein beleuchtetes Mädchen spritzt im natürlichen Wasser herum.,Das Mädchen sitzt drinnen.,contradiction,"Das Mädchen kann nicht drinnen sitzen, während es auch im natürlichen Wasser spritzt.",german
1597,Drei Männer sitzen draußen auf Stühlen mit roten Sitzen.,Drei Männer sitzen am Küchentisch.,contradiction,Sie sind nicht draußen und auch nicht am Küchentisch.,german
1598,Ein junger Junge in einem Strohhut trinkt aus einem rosafarbenen Plastikbecher.,"Die Kinder waren in Ehrfurcht, als sie pasionately auf die Geschichte des Jungen zuhörten.",contradiction,ein Junge kann nicht trinken und erzählen eine Geschichte zur gleichen Zeit.,german
1599,"Junge im Rucksack über die Straße, Andere Menschen, alle Asiaten, sind alle im Crosswalk auf den Jungen zu Fuß.",Der Junge hat keinen Rucksack an.,contradiction,"Ein Junge, der keinen Rucksack hat, kann nicht der Junge im Rucksack sein.",german
1600,Eine Gruppe wandert zwischen zwei riesigen Felsformationen.,Eine Gruppe schwimmt.,contradiction,"Wandern ist möglich, während Sie trocken bleiben, beim Schwimmen müssen Sie nass sein, können nicht gleichzeitig trocken und nass sein",german
1601,"Einheimische Fischer, die nach einem langen Arbeitstag in ihren Netzen herumwirbeln.",Die Männer beenden ihren Arbeitstag.,entailment,"Fischer sind Männer, und ihre Tage zu beenden ist eine Umwälzung in ihren Netzen.",german
1602,Ein Hund springt über die Stange.,Der Hund nimmt an einem Wettbewerb teil und zeigt sein Agilitätstraining.,neutral,"Nicht alle Hunde, die über die Pole springen, nehmen an einem Wettbewerb teil. Nicht alle Hunde können am Agilitätstraining teilnehmen.",german
1603,"Hier ist ein Bild von einem Mann, der darauf wartet, dass der Bus ihn abholt und er sein Gesicht versteckt.",Der Mann will nicht gesehen werden.,neutral,"Sein Gesicht zu verstecken bedeutet nicht unbedingt, dass der Mann nicht gesehen werden will. Er kann sein Gesicht vor Sonne oder Wind abschirmen.",german
1604,Ein behelmter männlicher Flug auf einem Fahrrad auf einer unbefestigten Straße.,Der Mann fiel vom Fahrrad.,contradiction,"Wenn der Mann vom Fahrrad fiel, ist es für ihn nicht möglich, gleichzeitig auf seinem Fahrrad zu fliegen.",german
1605,"Menschen vor dem Wasser, 3 Personen sitzen sich gegenüber, wie ein junger Junge läuft und 2 Personen gehen in Richtung Wasser.","Menschen, die draußen am Wasser hängen",entailment,"Menschen vor dem Wasser sind eine Umwälzung von Menschen, die draußen am Wasser hängen.",german
1606,Der Mann im blauen Hemd entspannt sich auf den Felsen.,Der Mann trägt lila Jeans.,neutral,"Der Mann im blauen Hemd bedeutet nicht, dass er lila Jeans trägt.",german
1607,Junge hemdlose Mann und asiatische Frau springen aus einem flachen Felsen an der Küste mit Booten im Hintergrund verankert,Ein junger Mann und eine asiatische Frau befinden sich in der Nähe eines Docks an einer Bucht.,neutral,"An der Küste mit Booten im Hintergrund verankert bedeutet nicht, dass sie sich auf einer Bucht befinden.",german
1608,"Ein Mann, der auf Stufen mit einem Kind sitzt, geht als Zuschauer vorbei.",Ein Mann und ein Kind sahen fern.,contradiction,Es kann entweder ein Mann und Kind zu Fuß oder Fernsehen.,german
1609,Ein Junge spielt seine Trompete während einer Aufführung mit seiner Band.,Ein Mensch mit Trompete,entailment,"Die Person ist ein Mensch, weil er ein Junge ist.",german
1610,3 Personen kaufen auf einem Markt ein.,Die drei Leute sehen zusammen fern.,contradiction,Einkaufen und Fernsehen sind verschiedene Aktivitäten.,german
1611,Eine indische Frau steht auf einem Outdoor-Marktplatz.,Ein amerikanisches Geschäft im Supermarkt.,contradiction,"Diese Personen haben unterschiedliche Nationalitäten (indisch und amerikanisch), und eine ist im Freien (Außenmarkt), während die andere ist indoor (Supermarkt).",german
1612,Kleines Mädchen in einem rosa Kleid spielt elektronische Drum Pads mit Stöcken.,das Mädchen trägt rosa Farbe frok,entailment,Das Mädchen trägt ein rosa Kleid.,german
1613,"Ein Junge in einem gelben T-Shirt und rosa Pullover spricht auf einem Handy, während er ein Pferd durch eine Menge von Menschen, die auf schauen.",Ein Junge hat ein hellgelbes T-Shirt und einen rosa Pullover.,neutral,Nicht alle Jungs tragen ein hellgelbes T-Shirt und einen rosa Pullover.,german
1614,Die Leute versammelten sich an einem Tisch mit Essen und Wein darauf.,Ein Mann fährt mit dem Fahrrad den großen Hügel hinunter.,contradiction,"Ein Mann fährt mit dem Fahrrad den großen Hügel hinunter und hätte nicht zu den Leuten gehören können, die sich um einen Tisch versammelten.",german
1615,"Ein Mann, der eine rote Jacke und Tarnhose trägt, lehnt sich an einen riesigen Baum im Schnee.",Ein Mann sips Bier am Strand,contradiction,Man kann sich nicht wieder einen Baum im Schnee lehnen und gleichzeitig Bier am Strand nippen.,german
